Quantity,Year,Month,Day,Avg_temp,Menu_Code
7,2022,202204,28,60.3,27
4,2022,202204,28,60.3,28
32,2022,202204,28,60.3,29
14,2022,202204,28,60.3,30
3,2022,202204,28,60.3,31
1,2022,202204,28,60.3,35
1,2022,202204,28,60.3,36
1,2022,202204,28,60.3,42
2,2022,202204,28,60.3,44
3,2022,202204,28,60.3,47
4,2022,202204,28,60.3,50
11,2022,202204,28,60.3,55
1,2022,202204,28,60.3,67
4,2022,202204,28,60.3,73
2,2022,202204,28,60.3,76
10,2022,202204,28,60.3,77
2,2022,202204,28,60.3,81
3,2022,202204,28,60.3,82
19,2022,202204,28,60.3,83
5,2022,202204,28,60.3,84
2,2022,202204,28,60.3,85
3,2022,202204,28,60.3,86
5,2022,202204,28,60.3,94
1,2022,202204,28,60.3,106
2,2022,202204,28,60.3,118
2,2022,202204,28,60.3,120
11,2022,202204,28,60.3,121
3,2022,202204,28,60.3,123
10,2022,202204,28,60.3,124
1,2022,202204,28,60.3,127
3,2022,202204,28,60.3,133
127,2022,202204,28,60.3,138
3,2022,202204,28,60.3,139
3,2022,202204,28,60.3,142
25,2022,202204,29,60.7,2
28,2022,202204,29,60.7,5
4,2022,202204,29,60.7,6
2,2022,202204,29,60.7,7
6,2022,202204,29,60.7,9
5,2022,202204,29,60.7,10
3,2022,202204,29,60.7,12
3,2022,202204,29,60.7,19
6,2022,202204,29,60.7,21
16,2022,202204,29,60.7,23
4,2022,202204,29,60.7,24
10,2022,202204,29,60.7,27
5,2022,202204,29,60.7,28
32,2022,202204,29,60.7,29
36,2022,202204,29,60.7,30
1,2022,202204,29,60.7,31
2,2022,202204,29,60.7,35
1,2022,202204,29,60.7,36
2,2022,202204,29,60.7,39
1,2022,202204,29,60.7,40
1,2022,202204,29,60.7,41
1,2022,202204,29,60.7,42
4,2022,202204,29,60.7,44
2,2022,202204,29,60.7,47
1,2022,202204,29,60.7,49
2,2022,202204,29,60.7,50
1,2022,202204,29,60.7,51
16,2022,202204,29,60.7,55
1,2022,202204,29,60.7,66
1,2022,202204,29,60.7,68
3,2022,202204,29,60.7,73
3,2022,202204,29,60.7,77
4,2022,202204,29,60.7,81
2,2022,202204,29,60.7,82
43,2022,202204,29,60.7,83
5,2022,202204,29,60.7,84
4,2022,202204,29,60.7,85
2,2022,202204,29,60.7,86
2,2022,202204,29,60.7,106
3,2022,202204,29,60.7,108
2,2022,202204,29,60.7,120
2,2022,202204,29,60.7,121
2,2022,202204,29,60.7,123
6,2022,202204,29,60.7,124
2,2022,202204,29,60.7,127
1,2022,202204,29,60.7,132
3,2022,202204,29,60.7,133
2,2022,202204,29,60.7,136
121,2022,202204,29,60.7,138
2,2022,202204,29,60.7,139
9,2022,202204,29,60.7,146
52,2022,202204,30,55.6,2
46,2022,202204,30,55.6,5
6,2022,202204,30,55.6,6
6,2022,202204,30,55.6,9
10,2022,202204,30,55.6,10
1,2022,202204,30,55.6,11
6,2022,202204,30,55.6,12
3,2022,202204,30,55.6,19
10,2022,202204,30,55.6,21
21,2022,202204,30,55.6,23
1,2022,202204,30,55.6,24
1,2022,202204,30,55.6,25
8,2022,202204,30,55.6,27
4,2022,202204,30,55.6,28
56,2022,202204,30,55.6,29
70,2022,202204,30,55.6,30
5,2022,202204,30,55.6,31
2,2022,202204,30,55.6,35
1,2022,202204,30,55.6,39
2,2022,202204,30,55.6,40
7,2022,202204,30,55.6,42
4,2022,202204,30,55.6,44
5,2022,202204,30,55.6,47
2,2022,202204,30,55.6,49
1,2022,202204,30,55.6,50
1,2022,202204,30,55.6,51
9,2022,202204,30,55.6,55
13,2022,202204,30,55.6,56
4,2022,202204,30,55.6,66
4,2022,202204,30,55.6,67
1,2022,202204,30,55.6,68
5,2022,202204,30,55.6,73
9,2022,202204,30,55.6,77
2,2022,202204,30,55.6,80
6,2022,202204,30,55.6,82
56,2022,202204,30,55.6,83
4,2022,202204,30,55.6,84
7,2022,202204,30,55.6,85
2,2022,202204,30,55.6,86
7,2022,202204,30,55.6,106
5,2022,202204,30,55.6,108
3,2022,202204,30,55.6,120
2,2022,202204,30,55.6,121
1,2022,202204,30,55.6,122
3,2022,202204,30,55.6,123
10,2022,202204,30,55.6,124
1,2022,202204,30,55.6,125
1,2022,202204,30,55.6,129
1,2022,202204,30,55.6,130
3,2022,202204,30,55.6,131
12,2022,202204,30,55.6,133
2,2022,202204,30,55.6,136
282,2022,202204,30,55.6,138
1,2022,202204,30,55.6,139
4,2022,202204,30,55.6,142
10,2022,202204,30,55.6,146
64,2022,202205,1,59.3,2
5,2022,202205,1,59.3,4
63,2022,202205,1,59.3,5
6,2022,202205,1,59.3,6
1,2022,202205,1,59.3,7
6,2022,202205,1,59.3,9
14,2022,202205,1,59.3,10
1,2022,202205,1,59.3,11
3,2022,202205,1,59.3,12
2,2022,202205,1,59.3,19
10,2022,202205,1,59.3,21
20,2022,202205,1,59.3,23
8,2022,202205,1,59.3,24
7,2022,202205,1,59.3,27
9,2022,202205,1,59.3,28
47,2022,202205,1,59.3,29
128,2022,202205,1,59.3,30
5,2022,202205,1,59.3,31
2,2022,202205,1,59.3,36
1,2022,202205,1,59.3,40
3,2022,202205,1,59.3,42
9,2022,202205,1,59.3,44
6,2022,202205,1,59.3,47
1,2022,202205,1,59.3,49
3,2022,202205,1,59.3,51
6,2022,202205,1,59.3,55
14,2022,202205,1,59.3,56
6,2022,202205,1,59.3,57
4,2022,202205,1,59.3,66
7,2022,202205,1,59.3,67
8,2022,202205,1,59.3,73
4,2022,202205,1,59.3,77
1,2022,202205,1,59.3,80
4,2022,202205,1,59.3,81
4,2022,202205,1,59.3,82
90,2022,202205,1,59.3,83
6,2022,202205,1,59.3,84
7,2022,202205,1,59.3,85
2,2022,202205,1,59.3,86
8,2022,202205,1,59.3,94
5,2022,202205,1,59.3,106
5,2022,202205,1,59.3,112
1,2022,202205,1,59.3,113
1,2022,202205,1,59.3,114
2,2022,202205,1,59.3,118
2,2022,202205,1,59.3,120
4,2022,202205,1,59.3,121
4,2022,202205,1,59.3,122
1,2022,202205,1,59.3,123
11,2022,202205,1,59.3,124
1,2022,202205,1,59.3,125
1,2022,202205,1,59.3,127
5,2022,202205,1,59.3,129
2,2022,202205,1,59.3,130
3,2022,202205,1,59.3,131
3,2022,202205,1,59.3,132
36,2022,202205,1,59.3,133
8,2022,202205,1,59.3,136
312,2022,202205,1,59.3,138
1,2022,202205,1,59.3,139
9,2022,202205,1,59.3,146
24,2022,202205,2,59.1,2
1,2022,202205,2,59.1,3
30,2022,202205,2,59.1,5
6,2022,202205,2,59.1,6
3,2022,202205,2,59.1,7
5,2022,202205,2,59.1,9
7,2022,202205,2,59.1,10
1,2022,202205,2,59.1,11
3,2022,202205,2,59.1,12
4,2022,202205,2,59.1,21
19,2022,202205,2,59.1,23
2,2022,202205,2,59.1,24
4,2022,202205,2,59.1,27
5,2022,202205,2,59.1,28
36,2022,202205,2,59.1,29
34,2022,202205,2,59.1,30
4,2022,202205,2,59.1,31
1,2022,202205,2,59.1,35
1,2022,202205,2,59.1,42
7,2022,202205,2,59.1,44
5,2022,202205,2,59.1,47
18,2022,202205,2,59.1,55
1,2022,202205,2,59.1,67
3,2022,202205,2,59.1,70
4,2022,202205,2,59.1,71
3,2022,202205,2,59.1,73
8,2022,202205,2,59.1,77
4,2022,202205,2,59.1,82
40,2022,202205,2,59.1,83
5,2022,202205,2,59.1,84
4,2022,202205,2,59.1,85
3,2022,202205,2,59.1,86
5,2022,202205,2,59.1,92
3,2022,202205,2,59.1,94
1,2022,202205,2,59.1,106
6,2022,202205,2,59.1,108
2,2022,202205,2,59.1,118
2,2022,202205,2,59.1,120
9,2022,202205,2,59.1,121
2,2022,202205,2,59.1,122
3,2022,202205,2,59.1,123
8,2022,202205,2,59.1,124
1,2022,202205,2,59.1,125
1,2022,202205,2,59.1,127
1,2022,202205,2,59.1,131
4,2022,202205,2,59.1,133
222,2022,202205,2,59.1,138
5,2022,202205,2,59.1,139
1,2022,202205,2,59.1,142
22,2022,202205,3,58.0,2
16,2022,202205,3,58.0,5
3,2022,202205,3,58.0,6
2,2022,202205,3,58.0,7
3,2022,202205,3,58.0,9
6,2022,202205,3,58.0,10
1,2022,202205,3,58.0,11
2,2022,202205,3,58.0,12
8,2022,202205,3,58.0,19
5,2022,202205,3,58.0,21
4,2022,202205,3,58.0,23
6,2022,202205,3,58.0,24
1,2022,202205,3,58.0,25
5,2022,202205,3,58.0,27
9,2022,202205,3,58.0,28
22,2022,202205,3,58.0,29
19,2022,202205,3,58.0,30
6,2022,202205,3,58.0,31
1,2022,202205,3,58.0,35
2,2022,202205,3,58.0,42
6,2022,202205,3,58.0,44
1,2022,202205,3,58.0,47
3,2022,202205,3,58.0,49
2,2022,202205,3,58.0,50
2,2022,202205,3,58.0,51
13,2022,202205,3,58.0,55
1,2022,202205,3,58.0,67
6,2022,202205,3,58.0,77
2,2022,202205,3,58.0,82
17,2022,202205,3,58.0,83
3,2022,202205,3,58.0,84
6,2022,202205,3,58.0,85
5,2022,202205,3,58.0,86
2,2022,202205,3,58.0,94
3,2022,202205,3,58.0,108
1,2022,202205,3,58.0,118
5,2022,202205,3,58.0,120
6,2022,202205,3,58.0,121
1,2022,202205,3,58.0,123
9,2022,202205,3,58.0,124
11,2022,202205,3,58.0,133
159,2022,202205,3,58.0,138
4,2022,202205,3,58.0,139
17,2022,202205,5,57.3,2
36,2022,202205,5,57.3,5
7,2022,202205,5,57.3,6
5,2022,202205,5,57.3,7
1,2022,202205,5,57.3,9
9,2022,202205,5,57.3,10
1,2022,202205,5,57.3,11
3,2022,202205,5,57.3,12
1,2022,202205,5,57.3,15
8,2022,202205,5,57.3,21
11,2022,202205,5,57.3,23
6,2022,202205,5,57.3,24
4,2022,202205,5,57.3,27
5,2022,202205,5,57.3,28
27,2022,202205,5,57.3,29
29,2022,202205,5,57.3,30
3,2022,202205,5,57.3,31
1,2022,202205,5,57.3,36
1,2022,202205,5,57.3,39
2,2022,202205,5,57.3,42
7,2022,202205,5,57.3,47
7,2022,202205,5,57.3,49
5,2022,202205,5,57.3,50
13,2022,202205,5,57.3,55
1,2022,202205,5,57.3,66
1,2022,202205,5,57.3,70
1,2022,202205,5,57.3,73
5,2022,202205,5,57.3,77
2,2022,202205,5,57.3,80
1,2022,202205,5,57.3,81
32,2022,202205,5,57.3,83
5,2022,202205,5,57.3,84
5,2022,202205,5,57.3,85
1,2022,202205,5,57.3,86
4,2022,202205,5,57.3,94
2,2022,202205,5,57.3,100
1,2022,202205,5,57.3,106
4,2022,202205,5,57.3,120
13,2022,202205,5,57.3,121
2,2022,202205,5,57.3,123
9,2022,202205,5,57.3,124
1,2022,202205,5,57.3,125
2,2022,202205,5,57.3,127
3,2022,202205,5,57.3,133
1,2022,202205,5,57.3,136
153,2022,202205,5,57.3,138
40,2022,202205,6,59.6,2
22,2022,202205,6,59.6,5
6,2022,202205,6,59.6,6
5,2022,202205,6,59.6,7
5,2022,202205,6,59.6,9
9,2022,202205,6,59.6,10
1,2022,202205,6,59.6,12
7,2022,202205,6,59.6,21
11,2022,202205,6,59.6,23
2,2022,202205,6,59.6,24
10,2022,202205,6,59.6,27
44,2022,202205,6,59.6,29
13,2022,202205,6,59.6,30
6,2022,202205,6,59.6,31
2,2022,202205,6,59.6,42
4,2022,202205,6,59.6,44
4,2022,202205,6,59.6,47
4,2022,202205,6,59.6,49
3,2022,202205,6,59.6,50
27,2022,202205,6,59.6,55
3,2022,202205,6,59.6,70
2,2022,202205,6,59.6,71
7,2022,202205,6,59.6,73
4,2022,202205,6,59.6,77
2,2022,202205,6,59.6,80
2,2022,202205,6,59.6,81
3,2022,202205,6,59.6,82
19,2022,202205,6,59.6,83
